127.0.0.1 - - [23/Nov/2018:14:46:50 -0200] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:16 -0200] "GET /biblioteca/livros HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:16 -0200] "GET /biblioteca/livros HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:16 -0200] "GET /biblioteca/login HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:16 -0200] "GET /biblioteca/login HTTP/1.1" 200 463
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:25 -0200] "POST /biblioteca/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:33 -0200] "GET /biblioteca/livros HTTP/1.1" 200 9607
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/images/RgSystems-logo.png HTTP/1.1" 200 6809
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/css/biblio.css HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/layout/javascripts/vendors.min.js HTTP/1.1" 200 145096
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/layout/javascripts/algaworks.min.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 200 70728
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:47:34 -0200] "GET /biblioteca/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:59:30 -0200] "GET /biblioteca/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:59:30 -0200] "GET /biblioteca/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:59:30 -0200] "GET /biblioteca/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [23/Nov/2018:14:59:30 -0200] "GET /biblioteca/css/biblio.css HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/livros?isbn=&titulo=&editora=&nomeAutor=rick HTTP/1.1" 200 9881
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/css/biblio.css HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/layout/javascripts/vendors.min.js HTTP/1.1" 200 145096
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/images/RgSystems-logo.png HTTP/1.1" 200 6809
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/layout/javascripts/algaworks.min.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 200 70728
0:0:0:0:0:0:0:1 - - [23/Nov/2018:15:00:17 -0200] "GET /biblioteca/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
